term,gloss,forms,occurrences
"cleft","split, cleft",223,2866
"agitation","agitation",166,2864
"cyclops","a cyclops",132,2859
"pertaining","Added to verb stems to form adjectives pertaining to the stem",340,2850
"gazelle","roe, gazelle, antelope",37,2847
"hanno","a male given name, character in the play Poenulus of Plautus",321,2846
"small shield","small shield",96,2843
"neon","neon",594,2838
"double","double, twofold",179,2823
"bent hams","bent hams",414,2820
"flay","to skin, flay",367,2812
"elliptical","elliptical",9,2803
"alpine","of high mountains",282,2801
"enlargement","Enlargement of -ō (suffix forming regular first-conjugation verbs).",116,2798
"panicle","tuft (on a plant); panicle",96,2783
"female slave","female slave",441,2783
"incense","incense; frankincense",336,2783
"ovular","Relating to eggs or ova.",320,2778
"defendant","defendant, accused",396,2775
"furrow","small trench to set plants in",361,2774
"samos","An island situated near Ephesus",474,2774
"boot","man's high boot, half-boot",128,2770
"made pointed","made pointed",83,2769
"footlet","a little foot",248,2759
"murex","shellfish with a spiral shell, used for dyeing purple",113,2755
"ribbon","Ribbon-like structure; Used to form words relating the structure of chromosomes in meiosis",309,2753
"fiery","burning, on fire, fiery",673,2747
"praenomen","a masculine praenomen",325,2735
"den","house, dwelling, lair",218,2732
"twice","twice, two times, on two occasions, in two ways",558,2726
"sack","sack, bag, especially a large leather sack used for bulk transport",386,2722
"saffron","saffron",279,2721
"weevil","weevil",22,2717
"formosan","Formosan",12,2715
"probe","to probe, search, explore",350,2715
"artemis","Artemis",38,2710
"bottle","lagoena (type of narrow-necked vessel)",178,2705
"catkin","catkin",361,2702
"plough-beam","a curved plough-beam",506,2686
"priapism","priapism",339,2683
"impassable","without passage, impassable, having no way through",223,2681
"male name","Suffix added to words to form a male name.",372,2678
"kitchen","kitchen",152,2673
"upwards","upwards",677,2673
"ararat","A mountain in classical Armenia, said to be the source of the Euphrates and Araxes (Araks) rivers, probably Bingöl Dağı in modern Turkey.",619,2669
"chiton","apocopic form of χιτῶνα (khitôna), χιτῶνε (khitône), and χιτῶνι (khitôni)",369,2661
"monochrome","Of one colour.",31,2653
"twiggy","made of twigs",47,2648
"two each","two each",637,2643
"barley-beer","barley-beer",773,2633
"manner","scribal abbreviation of modum",831,2630
"stronghold","stronghold, protection",337,2626
"er","Ending of some nouns denoting occupations, chiefly inherited from Middle English nouns borrowed from Old French or Medieval Latin.",504,2624
"aspio","A river of Picenum mentioned in the Tabula Peutingeriana, now the river Aspio",376,2624
"swimming","swimming",251,2623
"pedestrian","on foot, walking",205,2619
"floral","Relating to flowers.",91,2612
"currant","currant",329,2611
"thrice","thrice, three times",549,2610
"calpas","a river in Bithynia, mentioned by Pliny",496,2609
"bion","a male given name, equivalent to English Bion",200,2606
"butterfly","butterfly, moth",49,2598
"rectum","anus, rectum",288,2596
"plum","plum tree.",8,2590
"whirlwind","tornado, whirlwind",33,2590
"fig","fig, the fruit of the συκῆ (sukê)",360,2585
"rubi","a city in Apulia situated on the way from Canusium to Butuntum, now Ruvo di Puglia",320,2585
"linear","line-; lineal; consisting of lines; pertaining to lines",8,2584
"forceps","forceps",95,2583
"mountaineer","a mountaineer (a person that climbs mountains for sport or pleasure)",95,2583
"big toe","the big toe",439,2583
"tranquil","quiet, peaceful, tranquil.",168,2582
"agrimony","common agrimony (Agrimonia eupatoria)",11,2580
"iota","iota (Greek letter)",261,2578
"plectrum","plectrum (tool for striking the lyre)",161,2570
"clew","ball of thread, clew",42,2560
"fungal","Relating to fungi.",150,2557
"sickle","sickle",198,2557
"geo","combining form of γῆ (gê): geo-",250,2556
"er","-er; used to form masculine agent nouns from verbs",532,2553
"cassia","Chinese cinnamon (Cinnamomum cassia)",185,2551
"pony","small horse or pony",627,2549
"that writes","that writes",290,2546
"phi","phi, the name for the twenty-first letter Φ, φ of the Ancient Greek alphabet.",517,2544
"glorious","renowned, glorious",157,2542
"phryne","The name of a famous hetaera",284,2542
"terrestrial","on the earth, near the ground",286,2542
"atlantic","Atlantic",32,2540
"wailing","wailing; weeping",477,2540
"renal","Of or relating to the kidneys.",123,2538
"charis","one of the Charites; a Charis",145,2532
"to snarl","to snarl",365,2531
"road-related","Relating to roads.",89,2529
"olive","olive (fruit)",376,2525
"hag","female evil spirit or nocturnal apparition",405,2524
"shipworm","a shipworm (Teredo navalis) that bores into wooden piers, ships, etc.",518,2524
"sepal","sepal",476,2519
"glabrate","somewhat smooth; glabrate",10,2517
"different-coloured","having a different colour",27,2513
"chestnut","reddish brown, chestnut colored, bay",469,2507
"iolaus","Theban hero and nephew of Heracles",240,2506
"dissected","cut up, having been cut up, hewn open, having been hewn open; dissected, having been dissected",136,2500
"tium","Tium, Bithynia, Turkey",239,2500
"islet","islet, small island",353,2498
"redden","to redden (become reddish)",1,2497
"ringlet","a little ring",415,2496
"clover","trefoil, clover",23,2493
"volga","a river in Sarmatia, now the Volga",311,2493
"nova","nova",431,2489
"went","unaugmented third-person plural aorist active indicative of βαίνω (baínō)",798,2484
"courteous","courteous, kind, obliging, affable, gracious, polite",297,2480
"ive","Added to verbal stems to form adjectives: relating to, suited to, skilled in, able to, -ive",407,2479
"prostrate","lying prostrate, lying down; reclining",531,2479
"don","Don (a river, the fifth-longest in Europe, in modern Tula, Lipetsk, Voronezh, Volgograd and Rostov Oblasts, Russia)",558,2478
"turreted","towered, turreted",44,2474
"hawthorn","hawthorn (Crataegus heldreichii)",18,2471
"wild boar","a wild boar",207,2471
"grow hairy","to put forth hairs, grow hairy",278,2467
"pilot fish","pilot fish (Naucrates ductor)",21,2465
"photophobe","any insect that shuns the light, e.g. cockroach, moth",331,2465
"gallic tribe","a Gallic tribe mentioned by Caesar in his commentaries (VII.4)",361,2463
"fleece","The wool shorn from a sheep; fleece; wool",543,2452
"lissus","Lissus; Lezhë, Albania",197,2450
"southern","Of or pertaining to southern countries, near the equator.",337,2450
"fibrous","Fibrous, fringed.",84,2449
