term,gloss,forms,occurrences
"caducous","apt to fall, fallen",2,3
"tricolor gem","A kind of precious stone with three colors",2,3
"triquetrum","triquetrum",2,3
"pallas","epithet of the Greek goddess Athena (identified with Roman Minerva)",2,3
"nourishing","nourishing [with genitive]",2,3
"churiukian","of or from the island of Churiuk",2,3
"overseer","a female overseer",2,3
"trani","a city in Apulia, now Trani",2,3
"accursed","accursed, i.e. one of or to whom the word ὄλοιτο (óloito, ""may he/she/it perish"") may be used",2,3
"utrecht","Utrecht (a city and municipality, the capital of Utrecht province, Netherlands)",2,3
"unambiguous","univocal, unambiguous",2,3
"uranium","uranium",2,3
"uriah","Uriah",2,3
"powerfully","strongly, powerfully",2,3
"santerno","a river in Cisalpine Gaul that flows into the Padus, now called Santerno",2,3
"velleian","of or pertaining to the gens Velleia.",2,3
"sold","sold",2,3
"winnower","winnower",2,3
"vercingetorix","72 BCE–46 BCE, the chieftain of the Arverni, leader of the great Gallic revolt against the Romans in 53–52 BCE.",2,3
"vergellus","A small rivulet of Apulia mentioned by Florus and passing through Cannae",2,3
"blameworthy","blameworthy",2,3
"heartily","with all one's heart; heartily",2,3
"vomano","One of the most important rivers of Picenum, which flows into the Adriatic Sea near the city of Hadria, now the river Vomano",2,3
"vosges","Vosges (a mountain range in eastern France)",2,3
"boii","A Celtic tribe established between the Padus and the Apennines, in an area corresponding to today's Emilia-Romagna",2,3
"tungsten","tungsten, wolfram (chemical element 74)",2,3
"xenophonian","of or by Xenophon, Xenophonian/Xenophontean",2,3
"zimara","A town of lesser Armenia situated on the road from Melitene to Satala",2,3
"zirconium","zirconium",2,3
"southernwood","southernwood (Artemisia abrotanum)",3,3
"equalize","to equalize, make equal to something else, equate",3,3
"whitened","whitened",3,3
"hirtz","Hirtz (attributive); used in taxonomic names for organisms that often have English names of the form ""Hirtz's ...""",3,3
"enlarger","one who enlarges, amplifies, or decorates",3,3
"almond","made of almonds",3,3
"ascent","ascent",3,3
"go out","aorist active infinitive of ἐξῑ́ημῐ (exī́ēmĭ)",3,3
"patras","a city of Achaia situated on the coast, now Patras",3,3
"one-year-old","one-year-old",3,3
"antidote","a remedy against poison; an antidote",3,3
"indeterminate","indefinite, indeterminate",3,3
"juniper","juniper",3,3
"silversmith","silversmith",3,3
"wickerwork door","Hesychius' gives the definition as: θύρα (thúra, ""door"") οἷον (hoîon, ""such as"") γέρρον (gérrhon, ""of wickerwork"").",3,3
"bdellium","bdellium, an aromatic gum obtained from Commiphora africana",3,3
"tegeate","an inhabitant of Tegea; a Tegeate",3,3
"beryllium","beryllium",3,3
"bible","the Bible",3,3
"aciris","A considerable river of Lucania, that flows into the Ionian Sea, now the river Bradano",3,3
"shorten","to shorten, abbreviate, abridge (especially speech or writing)",3,3
"bronchus","A bronchial tube.",3,3
"magadis","a fabulous musical instrument described in an apocryphal letter of St. Jerome to Dardanus I; see Wikipedia's article",3,3
"truly","truly; even so",3,3
"plucked","plucked",3,3
"chariot","A chariot.",3,3
"daily","of day, by day",3,3
"cebriones","Cebriones; Kebriones",3,3
"cytinium","Cytinium, Doris, Greece",3,3
"uncleanness","uncleanness, foulness",3,3
"conservative","conservative (politically)",3,3
"coriander","coriander (Coriandrum sativum)",3,3
"malian","a Malian",3,3
"mnevis","Mnevis, a bull-shaped aspect of the god Atum-Ra venerated in Heliopolis",3,3
"decision","decision; determination; judgment",3,3
"madagascar","Madagascar (an island and country off the east coast of Africa)",3,3
"grain bin","A chest, box or basket to keep grain in",3,3
"cyrrhus","Cyrrhus, Cyrrhestica, Syria",3,3
"danaans","the Danaans, the subjects of Danaus",3,3
"uncovering","uncovering (laying bare)",3,3
"iambist","writer of iambic verse",3,3
"doria","Doria (attributive); used in taxonomic names for organisms having English names of the form ""Doria's ...""",3,3
"duilian","of or pertaining to gens Duīlius",3,3
"celery","made of celery",3,3
"eparchy","eparchy",3,3
"pertinax","Pertinax",3,3
"hoopoe","hoopoe (Upupa epops)",3,3
"equal","Equal; balanced; identical.",3,3
"escherich","Escherich (attributive); used in taxonomic names for organisms that often have English names of the form ""Escherich's ...""",3,3
"lavinium","Lavinium",3,3
"furius","Furius",3,3
"evangelist","evangelist, preacher",3,3
"cleave","to cleave, break up, separate, divide, split, part",3,3
"flower garden","a garden of flowers",3,3
"wave-tossed","driven or washed about by the waves",3,3
"perfidious","league-breaking, perfidious",3,3
"gavrio","Gavrio, Andros, Greece, port town of the Cyclades dating to the Hellenistic period; Latin: Gaurium",3,3
"bigerra","a town in Hispania Tarraconensis, mentioned by Pliny",3,3
"hereditary","hereditary, inherited",3,3
"hippothous","Hippothous, a descendant of Pelasgus slain by Ajax",3,3
"pitfall","pitfall for wild beasts",3,3
"imperishable","incorruptible, imperishable",3,3
"emptiness","emptiness, empty space",3,3
"tern","sea swallow; tern (Sterna hirundo)",3,3
"however","however, in whatever manner",3,3
"meanwhile","meanwhile, in the meantime",3,3
"judgment","judgment, decision",3,3
"torch-bearing","torch-bearing",3,3
"levelling","levelling, smoothing",3,3
"oxhide","made of ox hide",3,3
"lengthen","to become long",3,3
"basket","a hamper or basket (used for carrying and storing foods as well as money)",3,3
"massachusetts","Massachusetts",3,3
"minotaur","Minotaur",3,3
"must","must, new wine",3,3
"pharyngeal","pharyngeal",3,3
"sop","piece of bread scooped out as a spoon (for soup or gravy)",3,3
"myrtilus","Myrtilus",3,3
"papacy","the office of pope, the papacy",3,3
"novena","novena (recitation of prayers for nine days)",3,3
"nine times","nine times",3,3
"orestes","Orestes, an ancient Greek tragedy play",3,3
"reed-roofed","roofed with reeds",3,3
"pico","pico- (10⁻¹² = 0.000 000 000 001)",3,3
"paramecium","paramecium",3,3
"delouse","to free from lice; delouse",3,3
"encircling","going round, compassing, encircling",3,3
"very few","very few",3,3
"pharisee","a Pharisee (a member of the Jewish sect of that name)",3,3
"drying powder","a desiccative powder for wounds",3,3
"citizenship","the relation in which a citizen stands to the state, the condition and rights of a citizen, citizenship",3,3
"damask","damask",3,3
"magistrate","chief magistrate (in Sicily)",3,3
"lute","lute or psaltery",3,3
"semper","Semper (attributive); used in taxonomic names for organisms that often have English names of the form ""Semper's ...""",3,3
"purulent","purulent, festering",3,3
"quetta","quetta- (10³⁰)",3,3
"salivation","salivation",3,3
"thessaloniki","Thessaloniki (a city in the region of Macedonia, Greece)",3,3
"stagnate","to cover the land as a lake; to become a pool; to stagnate",3,3
"subduer","subduer",3,3
"savagery","wildness, fierceness, savageness",3,3
"veterinary","concerned with the medical treatment of domestic animals",3,3
"great-great-aunt","a sister of a great-great-grandfather",1,2
"abbacy","abbacy",1,2
"departure","a going away, departure",1,2
"weaning","weaning",1,2
"ablative case","ablative case",1,2
"great-great-grandson","great-great-grandson",1,2
"abominator","An abominator, one who abominates.",1,2
"abydian","of or pertaining the town of Abydos",1,2
"suitable","fit for, suitable for (with dative), accommodated (to or for)",1,2
"reclining","the act of reclining at table",1,2
"embitter","to make harsh or bitter, embitter",1,2
"ophthalmia","An inflammation of the eye",1,2
"actuated","actuated",1,2
"addition","additional thing; appendage; increase",1,2
"glandular","glandular; adenoid",1,2
"assistant","assistant, helper, accomplice (female)",1,2
"kindle","to kindle, set fire to",1,2
"adversary","antagonist, adversary (female)",1,2
"advocate","advocate",1,2
"flown","having been flown to",1,2
"giles","a male given name, equivalent to English Giles",1,2
"goat-faced","goat-faced",1,2
"coeval","just as old, of equal age, equal-lived, coeval",1,2
"mountebank","A person who roams a country, obtaining his living by exhibiting trickery; itinerant juggler or entertainer.",1,2
"youth","youth (tender age of childhood)",1,2
"aspirant","aspirant (zealous seeker)",1,2
"agatharchus","a male given name, equivalent to English Agatharchus",1,2
"agathocles","a male given name, equivalent to English Agathocles",1,2
"agesilaus","a male given name, equivalent to English Agesilaus",1,2
"weighed down","weighed down",1,2
"agility","agility, mobility, nimbleness, fleetness",1,2
"robe","net-like woollen robe worn by Bacchanals and soothsayers",1,2
"agrianes","A tribe of Paeonia who dwelt near the sources of the river Strymon",1,2
"rural","pasturing or dwelling in the country",1,2
"memorable","ever to be remembered",1,2
"aesepus","Aesepus (an important river in Mysia, modern-day Turkey)",1,2
"acesines","Acesines, Chenab (a river in Indian subcontinent, which flows through Pakistan and India)",1,2
"culminate","to be at or to reach the highest point",1,2
"albumen","albumen, egg white",1,2
"asphodel bulb","asphodel bulb",1,2
"germany","Germany (a country in Central Europe, formed in 1949 as West Germany, with its provisional capital Bonn until 1990, when it incorporated East Germany)",1,2
"alexandrian","An Alexandrian",1,2
"nutritious","able to provide nourishment, nutritious, nourishing",1,2
"somewhat","to some extent",1,2
"allegory","allegory",1,2
"elsewhere","from another place",1,2
"elsewhere","to another place [with ᾰ̓́λλος (ắllos)]",1,2
"thoughtless","unreasoning, inconsiderate, thoughtless, heedless",1,2
"menarche","menarche",1,2
"aluntium","Aluntium, Sicily, Italy",1,2
"auzia","A town of Numidia mentioned in the Antonine Itinerary",1,2
"high-sounding","high-sounding, sounding from on high",1,2
"gold mines","gold mines",1,2
"amalgam","amalgam",1,2
"to amalgamate","To amalgamate",1,2
"amorges","a male given name, Amorges, from Old Persian, son of Pissuthnes",1,2
"seagirt","flowed around, seagirt (of islands)",1,2
"amphitheater","an amphitheatre, amphitheater",1,2
"preservative","preservative",1,2
"lacerate","to scratch, tear, lacerate",1,2
"retreat","retiring, retreat",1,2
"anemia","lack of blood",1,2
"participle","aorist active participle of ᾰ̓νᾱῑ̈́σσω (ănāī̈́ssō)",1,2
"recollection","calling to mind, reminiscence",1,2
"anaximander","Anaximander, Ionian philosopher from Miletus",1,2
"gemstone","A kind of hard precious stone",1,2
"androsthenes","a male given name, equivalent to English Androsthenes",1,2
"anemoria","Anemoria (a town in Phocis, Greece)",1,2
"amelia","Used as a specific epithet to associate species with a person named Amelia",1,2
"analgesic","stilling or relieving pain",1,2
"antelope","antelope (a fierce legendary creature said to live on the banks of the Euphrates, having long serrated horns and being hard to catch)",1,2
"contrary","contradictory, reverse",1,2
"suffering instead","suffering instead",1,2
"turning about","turning about",1,2
"resistance","opposition, resistance",1,2
"resolute","resolute, without hesitation, industrious",1,2
"aortic","Of or pertaining to the aorta.",1,2
"aphorism","aphorism",1,2
"threatening","intimidating, threatening, menacing",1,2
"cedreae","Cedreae, Caria, Turkey",1,2
"fly averter","Averter of flies, epithet of Zeus and Heracles",1,2
"apostrophe","apostrophe (sudden piece of dialogue addressed to someone or something)",1,2
"storehouse","repository, storehouse, warehouse",1,2
"applied","applied",1,2
"especially","especially, extremely, very, before all",1,2
"accursed","prayed against, hence accursed",1,2
"arcadia","Arcadia (an ancient region of Peloponnese, in modern Greece)",1,2
"archelaus","a male given name, equivalent to English Archelaus",1,2
"archetypal","first moulded as a pattern or model, archetypal",1,2
"clinic","surgery, a doctor's office, a clinic",1,2
"physician","A Greek physician",1,2
"archipelago","archipelago: a collection of islands",1,2
"pirate chief","pirate chief",1,2
"architectural","Of or pertaining to an architect or architecture; architectural",1,2
"busybody","busybody",1,2
"argentina","Argentina (a country in South America)",1,2
"chattered","having chattered, prated",1,2
"left hand","left hand",1,2
"aristobulus","a male given name, equivalent to English Aristobulus",1,2
"aristodemus","a male given name, equivalent to English Aristodemus",1,2
"aristomachus","a male given name, equivalent to English Aristomachus",1,2
"arnae","Arnae, in Macedonia",1,2
"arpino","an ancient city of the Volscians, situated on a hill above the valley of the Liris and birthplace of Cicero, now Arpino",1,2
"aseity","aseity (property of being self-derived)",1,2
"approving smile","smile of approval",1,2
"artachaees","a male given name, Artachaees, from Old Persian, engineer of the Xerxes Canal",1,2
"artaxata","The capital of Armenia situated on a bend of the river Araxes",1,2
"given name","a male given name from Old Persian Artauntes, name of several Persian generals",1,2
"joint disease","disease of or in the joint",1,2
"given name","a male given name from Old Persian Artontes, name of several Persian nobles",1,2
"pallet","pallet",1,2
"spiny lobster","spiny lobster (Palinurus elephas)",1,2
"asturias","Asturias (a region of modern Spain)",1,2
"suburban","neighboring a city",1,2
"equal-weighted","equal in weight",1,2
"temple","An Athenaeum: a temple of Athena",1,2
"atropatena","Atropatena",1,2
"gemstone","A kind of precious stone, often thought to be turquoise",1,2
"growth","increase, enlargement, augmentation, growth",1,2
"flute singer","a singer accompanied by a flute",1,2
"actium","an ancient town in Acarnania, famous for its battle",1,2
"autumnize","to cause or bring on autumn",1,2
"axiocersus","Axiocersus, one of the Cabeiri worshipped in Samothrace",1,2
"confection","A kind of confection.",1,2
"bacchanal","place devoted to Bacchus, where the Bacchanalia where celebrated",1,2
"bacchated","having celebrated the festival or rites of Bacchus",1,2
"helorus","a city in Sicily, situated near Syracusae and the banks of the river Helorus",1,2
"bactrian","an inhabitant of Bactria; a Bactrian",1,2
"bosut","a river in Pannonia, now called Bosut",1,2
"baebian","of or pertaining to the gens Baebia.",1,2
"baiocasses","A Celtic tribe of Gallia Lugdunensis, whose chief town was Augustodurus",1,2
"bath attendant","bath attendant (female)",1,2
"barabbas","Barabbas",1,2
"buna","Buna (a river in modern-day Albania and Montenegro)",1,2
"batnae","Batnae; Suruç, Turkey",1,2
"azilises","a male given name, Azilises, from Proto-Saka, an Indo-Scythian king",1,2
"nightshade","nightshade (any of the poisonous plants belonging to the genus Solanum)",1,2
"quiver","A quiver",1,2
"beroea","Beroea (an ancient city in Aleppo)",1,2
"runaway","Hesychius gives the definition as: δραπέτης (drapétēs, ""runaway"")",1,2
"bethsaida","Bethsaida",1,2
"to crucify","to crucify",1,2
"binche","Binche (a city in Hainaut, Wallonia, Belgium)",1,2
"biology","biology",1,2
"two-wheeled","two-wheeled",1,2
"boebe","Boebe, Thessaly, Greece",1,2
"bor","A botanical plant name author abbreviation for botanist Norman Loftus Bor (1893-1972).",1,2
"cowshed","a stall for cows",1,2
"calamine","A kind of calamine",1,2
"sausage-seller","a sausage-seller",1,2
"brachial","brachial (of or relating to arms)",1,2
"hollis","Hollis (attributive); Of Hollis; Hollis's. Used as a specific epithet in taxonomic names.",1,2
"cognomen","A cognomen of the Roman gens Iunius.",1,2
"herdsman","cowherd, herdsman",1,2
"servitude","servitude",1,2
"fellable","that can be cut down, fellable",1,2
"cutter","hewer, chopper, cutter",1,2
"caiazzo","A city of Samnium in the valley of the Vulturnus, now Caiazzo",1,2
"gravel-dwelling","found in pebbly places",1,2
"caledonian","an inhabitant of Caledonia; a Caledonian",1,2
"caligula","Caligula",1,2
"kalinga","A tribe of India which dwelt near the sea and whose capital was Parthalis",1,2
"pudenda muliebria","pudenda muliebria",1,2
"cinquefoil","cinquefoil (plant of the genus Potentilla)",1,2
"callus","hardness, thickening (of the skin)",1,2
"good time","this word's etyma and its Latin gloss both admit of a wide range of interpretations of its meaning — see κᾰλός (kălós), καιρός (kairós); bonus, tempus",1,2
"campania","Campania",1,2
"canidius","Canidius",1,2
"canosa","One of the most important cities of Apulia, situated near the right bank of the river Aufidus, now the town of Canosa",1,2
"sacrificial bowl","A bowl or cup used in sacrifices",1,2
"halter","to halter; tie with a halter",1,2
"immortal","Any eternal thing.",1,2
"poll tax","head tax, poll tax",1,2
"carceral","of or belonging to a prison or its administration, carceral",1,2
"mercenary","A kind of mercenary soldier by the Persians",1,2
"sedge","A plant community dominated by the genus Carex.",1,2
"charterhouse","charterhouse",1,2
"cassandane","a female given name, Cassandane, from Old Persian, a Persian noblewoman and wife of Cyrus the Great",1,2
"cassivelaunus","A British chief who fought against Caesar",1,2
"dissolution","dissolution, disbanding",1,2
"cataonia","an ancient district of Cappadocia, in modern Turkey",1,2
"hold down","to hold down",1,2
"catullan","of Catullus",1,2
"cayster","A river of Ionia flowing into the Aegean Sea, now the Küçükmenderes River",1,2
"hasten","to hasten, quicken, accelerate",1,2
"celts","the Celts (inhabitants of Gaul)",1,2
"celts","the Celtic nation, the Celts",1,2
"cenomani","A Gaulish tribe of Gallia Cisalpina, settled between the territory of the Insubres and that of the Veneti",1,2
"kefalonia","Cephallenia; Kefalonia, Greece",1,2
"chaix","Dominique Chaix (French botanist)",1,2
"pallet","bed on the ground, pallet-bed",1,2
"combativeness","joy of battle; eagerness for combat",1,2
"mustard","mustard, mustard seed",1,2
"boulder","large stone or boulder used as a missile",1,2
"trochee","a choreus, trochee",1,2
"gemstone","A kind of precious stone, said to be found in the brain of the fish cinaedus",1,2
"water diviners","water diviners",1,2
"watchman","patrolman, watchman",1,2
"circumwoven","woven all around",1,2
"naval","pertaining to the navy",1,2
"cleombrotus","a male given name, equivalent to English Cleombrotus",1,2
"cleomedes","a male given name, equivalent to English Cleomedes",1,2
"demagogue","An Athenian demagogue and statesman",1,2
"alder","made of alder wood",1,2
"gluteal","pertaining or belonging to the buttocks",1,2
"lifestyle","a way of living",1,2
"hinderer","hinderer",1,2
"collegial","collegial",1,2
"frequent","to go to or approach often",1,2
"arum","arum",1,2
"reveling","holding a riotous procession, reveling, banqueting, carousing",1,2
"reveller","reveller, participant in a festive procession",1,2
"care for","to take care of",1,2
"commagene","Commagene (an ancient Armenian kingdom in northeastern Anatolia, modern Turkey, with a capital at Samosata)",1,2
"pitied","having commiserated, pitied",1,2
"poundable","about to be grinded thoroughly, about to be pounded",1,2
"ornamentation","ornamentation, embellishment",1,2
"godfather","godfather (in relation to godchild or fellow godparent or parent)",1,2
"competitor","competitor (female)",1,2
"compiler","A compiler, one which heaps (up) or compiles.",1,2
"compline","compline (prayer service at the close of the day)",1,2
"several times","several times",1,2
"alcalá","A town of the Carpetani in Hispania Tarraconensis, now Alcalá de Henares, Spain.",1,2
"compression","squeezing, compression",1,2
"oyster","of or pertaining to oysters or other shellfish",1,2
"sing together","to sing, chant etc. together",1,2
"fellow citizen","fellow citizen",1,2
"concocted","concocted",1,2
"solidification","the formation of solid material",1,2
"coveting","coveting",1,2
"repository","repository",1,2
"chatti","a Germanic tribe of Gallia Belgica",1,2
"reap","to harvest, reap",1,2
"accomplishing","accomplishing",1,2
"flow together","to flow or run together",1,2
"conflux","conflux",1,2
"refugee","one who seeks refuge, a fugitive, a refugee",1,2
"generative","generative",1,2
"rejoice","to wish joy; to rejoice with",1,2
"torn","torn or rent to pieces",1,2
"consecration","dedication, consecration",1,2
"consequent","that follows logically, consequent, conclusive",1,2
"pursuer","she who eagerly pursues; a follower, adherent",1,2
"consulted","consulted",1,2
"fellow countryman","fellow countryman",1,2
"tent squad","a squad of soldiers sharing a single tent, usually 6–8 men",1,2
"flock together","to fly or flock together with others",1,2
"convulsion","convulsion",1,2
"coworker","joint-labourer, coworker",1,2
"coriolan","Of, or from, Coriolī.",1,2
"crowner","crowner",1,2
"touchstone","a touchstone",1,2
"daily","Daily, every day.",1,2
"unguliferous","having strong hooves or claws",1,2
"cremaster","cremaster",1,2
"castanets","castanets, clappers",1,2
"creusis","Creusis",1,2
"crommyon","Crommyon",1,2
"crystalline","crystalline, crystalloid",1,2
"blameworthy","blameworthy, culpable",1,2
"cypress-bearing","cypress-bearing",1,2
"kindle","to light up, to kindle, to set on fire",1,2
"demeter","Doric, Arcadian, and Boeotian form of Δημήτηρ (Dēmḗtēr)",1,2
"creditor","moneylender or creditor",1,2
"debtor","female equivalent of dēbitor: female debtor",1,2
"decelea","Decelea (a city in Attica, Greece)",1,2
"elocutionist","one who speaks for show (contrasted with an orator); an elocutionist, declaimer",1,2
"decisive","Of or pertaining to a decision; decisive.",1,2
"lying","Lying down.",1,2
"degenerate","to degenerate, deteriorate",1,2
"carry away","to carry away, carry off",1,2
"having dissuaded","having dissuaded",1,2
"successively","in succession; successively",1,2
"dinostratus","a male given name, equivalent to English Dinostratus",1,2
"having demolished","having demolished",1,2
"indicator","one who, or that which, points out or demonstrates; an indicator, guide",1,2
"toothpick","toothpick",1,2
"drive down","to drive down (fix into the ground)",1,2
"knead","Knead, make supple.",1,2
"scabby","scabby, impetiginous",1,2
"skimming","skimming off, despumation",1,2
"skim","to skim (off) (froth)",1,2
"execration","execration (solemn curse)",1,2
"devastation","devastation",1,2
"glove","a glove worn in gathering olives",1,2
"diligence","diligence, care, attentiveness, discipline",1,2
"intermission","intermission between plays",1,2
"viper","viper (Cerastes vipera)",1,2
"fearfulness","fearfulness, frightfulness",1,2
"runner","one who runs in the stadium, one who runs for a prize",1,2
"dissertation","dissertation, discourse, disquisition",1,2
"dithyramb","a dithyramb, dithyrambic poem, originally in honor of Bacchus, but afterwards also of other gods",1,2
"rend","to rend; tear apart, asunder, away or in pieces; remove",1,2
"absolute power","absolute power",1,2
"distress","to give pain to, to pain, distress, grieve, vex",1,2
"dubnium","dubnium",1,2
"two hundredth","two hundredth",1,2
"bellona","Bellona, goddess of war, sister (or sometimes wife) of Mars",1,2
"confection","A sweetmeat, sweet, confection.",1,2
"sweetly sounding","sweetly sounding",1,2
"prince","A prince of the Aedui and brother of Diviciacus",1,2
"twofold","on two accounts, in two ways or parts",1,2
"ugliness","misshapenness, ugliness",1,2
"unhappy","unhappy, miserable",1,2
"ecclesiastical","ecclesiastical",1,2
"church","church",1,2
"edictally","according to edict, by edict",1,2
"publishing","publishing",1,2
"dung","excrement, dung",1,2
"chaste-tree","made of chaste tree",1,2
"electronics","electronics",1,2
"morria","made of μόρρῐᾰ (mórrhĭă)",1,2
"surmountable","Surmountable.",1,2
"emanate","to flow out; arise or emanate (from)",1,2
"exegesis","a detailed exposition or interpretation",1,2
"rubbed-in","rubbed in; applied by rubbing; (of substances) suitable or intended for such application, especially ointments or medicated preparations",1,2
"allied","included in a truce or treaty, in alliance with",1,2
"divinely inspired","divinely inspired",1,2
"came","first-person singular/third-person plural aorist active indicative of ἔρχομαι (érkhomai)",1,2
"enthusiast","one who believes that he is divinely inspired (especially, where he regards this inspiration as negating the authority of Holy Scripture)",1,2
"entomologist","entomologist",1,2
"eordaea","an ancient district of Macedonia, situated west of Emathia in modern Greece",1,2
"said","first-person singular aorist active indicative of φημί (phēmí)",1,2
"ephesus","Ephesus (an ancient Greek city in Anatolia, near Selçuk in modern İzmir Province, Turkey)",1,2
"was speaking","contracted third-person singular imperfective active indicative of φωνέω (phōnéō)",1,2
"seizure","taking hold of, clasping, claiming, seizure",1,2
"epilogue","conclusion, peroration, epilogue",1,2
"defensive alliance","defensive alliance",1,2
"appearance","appearance, manifestation (especially of a divine or royal figure)",1,2
"suppliant","suppliant",1,2
"was selling","contracted third-person singular imperfect active indicative of πωλέω (pōléō)",1,2
"erichthonius","Erichthonius",1,2
"aperlae","Aperlae, Lycia, Turkey",1,2
"ruwer","A river mentioned by Ausonius, now the Ruwer",1,2
"eryximachus","Eryximachus",1,2
"eteoclus","Eteoclus",1,2
"euaemon","Euaemon, son of Ormenus and father of Eurypylus",1,2
"cleonae","Cleonae, Kleones (an ancient city in Argolis, Greece)",1,2
"euhemerus","Euhemerus (philosopher)",1,2
"benefactor","A benefactor, euergetist",1,2
"broad-foreheaded","with a broad forehead",1,2
"soluble","easily melted or dissolved",1,2
"fortified","having good walls, well-fortified",1,2
"omissible","that may be omitted",1,2
"exarch","exarch",1,2
"exhumed","exhumed; dug up from the ground.",1,2
"desirable","desirable, desired, exoptable",1,2
"unshackle","to free feet from snares; unfasten fetters; lose the shackles",1,2
"orphaned","abandoned as a child, orphaned",1,2
"expeller","female equivalent of expulsor (""one who expels"")",1,2
"funereal","funereal, relating to a funeral",1,2
"extorter","extorter",1,2
"fallacious","Liable to error; deceitful.",1,2
"hydissa","Hydissa, Caria, Turkey",1,2
"merriment","festivity, merriment, joy, mirth",1,2
"formation","fashioning, forming, formation",1,2
"felt","felt",1,2
"imaginary","imaginary (seeming)",1,2
"pottage","A kind of pottage, porridge or gruel used at sacrifices",1,2
"be flaccid","to be flabby or flaccid",1,2
"importuner","one who makes persistent demands, one who harasses with requests or questions",1,2
"wave-born","born from the waves",1,2
"hearth","a fireplace, hearth",1,2
"gnashing","a gnashing of teeth",1,2
"grosbeak","a bird, the grosbeak",1,2
"foligno","Foligno, a city in Umbria",1,2
"inter","to bury with funeral rites, to inter",1,2
"treetop","the upper part of a fir tree",1,2
"genseric","a male given name from Vandalic, name of a Vandalic King who ruled over North Africa",1,2
"galba","Galba",1,2
"yellow-clad","dressed in yellow or greenish-yellow",1,2
"held back","first-person singular aorist active indicative of ἀνέχω (anékhō)",1,2
"gaphara","Gaphara, Africa, Tunisia",1,2
"rejoice","to rejoice, make merry",1,2
"natal","of or pertaining to one's birthday",1,2
"gepids","The Gepids, an East Germanic tribe inhabiting the regions of the Tisza",1,2
"gerasa","Gerasa; Jerash, Jordan",1,2
"boulogne-sur-mer","an ancient town on the northwestern coast of Gallia, now Boulogne-sur-Mer",1,2
"gesticulator","gesticulator; one who gesticulates",1,2
"gindarus","Gindarus; Jindires, Syria",1,2
"cutting instrument","cutting instrument",1,2
"waylaying","waylaying, rioting",1,2
"seashell","a kind of seashell",1,2
"saltbox","saltbox",1,2
"endurance","endurance, tolerance",1,2
"failure","a failure, fault, sin",1,2
"hartweg","Hartweg (attributive); used in taxonomic names for organisms that often have English names of the form ""Hartweg's ...""",1,2
"parthenon","Hekatompedon (Parthenon)",1,2
"sharpshooter","sharpshooter, sniper (epithet of Apollo)",1,2
"jaffa","Jaffa (a port in western Israel)",1,2
"greek woman","a Greek woman",1,2
"theodosia","a female given name, equivalent to English Theodosia",1,2
"heraea","Heraea (a city in Arcadia, Greece)",1,2
"cairn","heap of stones; cairn",1,2
"herodian","of Herod",1,2
"hero shrine","A sanctuary dedicated to a hero, often over his supposed tomb.",1,2
"sixty","sixty",1,2
"hicetaon","Hicetaon, a son of Laomedon and brother of Priam",1,2
"high priest","high priest",1,2
"siret","a river in Dacia, now the river Siret in Romania",1,2
"yarmouk","Yarmouk (a river in Jordan, Syria and Israel, the largest tributary of the Jordan River)",1,2
"hierophant","hierophant; one who teaches rites of sacrifice and worship",1,2
"hippodamia","a female given name, equivalent to English Hippodamia",1,2
"starthistle","kind of starthistle (Centaurea spinosa)",1,2
"snarling","the snarling of dogs",1,2
"wild asparagus","wild asparagus",1,2
"guest quarters","Apartments for guests, guest-chambers, guest accommodation.",1,2
"carini","a town in Sicily situated between Panormus and Segesta, now Carini",1,2
"logging","cutting or felling wood",1,2
"lumbering","lumbering (the cutting or felling of wood)",1,2
"membrane-winged","membrane-winged",1,2
"uppermost","highest; uppermost",1,2
"demosthenes","A celebrated Attic orator born in Collytus",1,2
"mimicry","mimicry",1,2
"indoors","under the roof",1,2
"ebro","Ebro (a river in Spain that flows into the Mediterranean)",1,2
"gubbio","Gubbio (a city in Umbria)",1,2
"archimedes","a male given name, equivalent to English Archimedes",1,2
"inferential","inferring, concluding, illative",1,2
"having imagined","having imagined",1,2
"unmentioned","unmentioned, untold",1,2
"confer","to bestow, impart, entrust",1,2
"attainable","easy to be obtained, attainable",1,2
"unfitness","unsuitableness, unfitness",1,2
"shamelessness","shamelessness",1,2
"immeasurable","that cannot be estimated or judged",1,2
"beginning","a beginning, start",1,2
"forbidden","not allowed, forbidden, impossible",1,2
"to fatten","to fatten",1,2
"rebuked","rebuked",1,2
"torticollous","having a crooked neck.",1,2
"indelible","indelible, imperishable",1,2
"indicative","That indicates, indicative.",1,2
"indicative","indicative",1,2
"uninformed","uninformed, uneducated",1,2
"impeded","Not free or unimpeded, impeded.",1,2
"impregnable","impregnable, inexpugnable",1,2
"infamous","notorious, infamous",1,2
"unnameable","unnameable",1,2
"unwholesome","unwholesome, insalubrious",1,2
"incurable","incurable",1,2
"sow","to sow or plant",1,2
"to engrave","to engrave",1,2
"insomnia","sleeplessness, insomnia",1,2
"not plundered","not plundered",1,2
"instigator","female equivalent of īnstīgātor (""stimulator, instigator"")",1,2
"tastelessness","tastelessness, insipidity, dullness",1,2
"insurmountable","insurmountable",1,2
"untried","untried, untested",1,2
"meanwhile","meanwhile, in the meantime, in the interim",1,2
"punctuation","punctuation (placing of points between words)",1,2
"intestate","intestate (with no will)",1,2
