term,occurrences,missing
"pumping",16,"pumping"
"sacristy",16,"sacristy"
"sambaqui",16,"sambaqui"
"frankenia thymifolia",16,"frankenia thymifolia"
"piggery",16,"piggery"
"hidden excavation",16,"excavation"
"plaice",16,"plaice"
"sonata",16,"sonata"
"gigue",16,"gigue"
"female piglet",15,"piglet"
"trampled",15,"trampled"
"efficient",15,"efficient"
"falsified",15,"falsified"
"semicylindrical",15,"semicylindrical"
"subfiliform",15,"subfiliform"
"recruit",15,"recruit"
"trierarch",15,"trierarch"
"sat down",15,"sat"
"repressed",15,"repressed"
"solidified",15,"solidified"
"preceding",15,"preceding"
"eleventh",15,"eleventh"
"apoplectic",15,"apoplectic"
"nigger",15,"nigger"
"c flat",15,"c"
"hex-",15,"hex"
"gif",15,"gif"
"enamel",15,"enamel"
"chaguar",15,"chaguar"
"parallelism",15,"parallelism"
"casual",15,"casual"
"vair",15,"vair"
"-geny",15,""
"semolina",15,"semolina"
"soup tureen",15,"tureen"
"calli-",15,"calli"
"satay",15,"satay"
"mammal",15,"mammal"
"decagram",15,"decagram"
"hussar",15,"hussar"
"diol",15,"diol"
"pharaoh",15,"pharaoh"
"erhu",15,"erhu"
"headquarters",15,"headquarters"
"fishmonger",15,"fishmonger"
"anode",15,"anode"
"audience",15,"audience"
"aviculture",15,"aviculture"
"babiche",15,"babiche"
"balise",15,"balise"
"greengrocer",15,"greengrocer"
"couloir",15,"couloir"
"curare",15,"curare"
"diadem",15,"diadem"
"ducat",15,"ducat"
"vintage",15,"vintage"
"phono-",15,"phono"
"ocrea",15,"ocrea"
"greek woman",15,"greek"
"fertiliser",15,"fertiliser"
"halva",15,"halva"
"equine",15,"equine"
"innocence",15,"innocence"
"to joust",15,"joust"
"lexie",15,"lexie"
"macaroni",15,"macaroni"
"mascara",15,"mascara"
"fingerless glove",15,"glove"
"peasantry",15,"peasantry"
"pemmican",15,"pemmican"
"hairdo",15,"hairdo"
"under-",15,""
"proa",15,"proa"
"halfway",15,"halfway"
"neigh",15,"neigh"
"unesco",15,"unesco"
"wendigo",15,"wendigo"
"misunderstanding",15,"misunderstanding"
"bill",15,"bill"
"see lemma",14,"lemma"
"spavin",14,"spavin"
"containing manganese",14,"manganese"
"hemisphere",14,"hemisphere"
"strengthening",14,"strengthening"
"quaestor",14,"quaestor"
"hesitating",14,"hesitating"
"for provisions",14,"provisions"
"moabite woman",14,"moabite"
"spectre-bearing",14,"spectre"
"plethora",14,"plethora"
"cherub",14,"cherub"
"untaught",14,"untaught"
"domineering",14,"domineering"
"baleful",14,"baleful"
"equidistant",14,"equidistant"
"abounded",14,"abounded"
"lethargic",14,"lethargic"
"philosophical",14,"philosophical"
"woken",14,"woken"
"distracted",14,"distracted"
"piracy",14,"piracy"
"exhibited",14,"exhibited"
"eczema",14,"eczema"
"-ist",14,"ist"
"-tion",14,"tion"
"cam",14,"cam"
"poem",14,"poem"
"research institute",14,"research institute"
"leftover fodder",14,"leftover fodder"
"sheik",14,"sheik"
"chimpanzee",14,"chimpanzee"
"underground sewer",14,"underground"
"maxi",14,"maxi"
"salary",14,"salary"
"algo-",14,"algo"
"panoramic",14,"panoramic"
"pilsner beer",14,"pilsner"
"dengue",14,"dengue"
"sensible",14,"sensible"
"ibex",14,"ibex"
"askari",14,"askari"
"to heave",14,"heave"
"bawling",14,"bawling"
"inspector",14,"inspector"
"lanky",14,"lanky"
"scarf",14,"scarf"
"agronomist",14,"agronomist"
"artillery",14,"artillery"
"auxiliary",14,"auxiliary"
"bromide",14,"bromide"
"flintlock gun",14,"flintlock"
"chemo-",14,"chemo"
"polo shirt",14,"polo"
"stale",14,"stale"
"conservative",14,"conservative"
"-coccus",14,"coccus"
"bruised",14,"bruised"
"dago",14,"dago"
"assessment",14,"assessment"
"more easterly",14,"easterly"
"bactrian camel",14,"bactrian"
"holiday village",14,"holiday"
"chokepoint",14,"chokepoint"
"tourniquet",14,"tourniquet"
"-born",14,""
"genocide",14,"genocide"
"to germinate",14,"germinate"
"to dandle",14,"dandle"
"revenue stamp",14,"revenue stamp"
"wrasse",14,"wrasse"
"legislature",14,"legislature"
"marquesas islands",14,"marquesas"
"to pamper",14,"pamper"
"moped",14,"moped"
"hassle",14,"hassle"
"black granite",14,"granite"
"rodent",14,"rodent"
"tenancy",14,"tenancy"
"orangery",14,"orangery"
"plebiscite",14,"plebiscite"
"carriage house",14,"carriage"
"fuck",14,"fuck"
"soloist",14,"soloist"
"knitter",14,"knitter"
"telecommunications",14,"telecommunications"
"squinch",14,"squinch"
"vernier",14,"vernier"
"certainty",14,"certainty"
"wink",14,"wink"
"cabin boy",14,"cabin"
"gauss",14,"gauss"
"terrier",14,"terrier"
"drainage ditch",13,"drainage"
"synapse",13,"synapse"
"safflower",13,"safflower"
"whisper",13,"whisper"
"dimity",13,"dimity"
"aorist",13,"aorist"
"mundane",13,"mundane"
"penultimate",13,"penultimate"
"ochre-colored",13,"ochre"
"apparently true",13,"apparently"
"homogeneity",13,"homogeneity"
"sterlet",13,"sterlet"
"cholera",13,"cholera"
"smeared around",13,"smeared"
"desultory",13,"desultory"
"pontifical",13,"pontifical"
"gymnastic",13,"gymnastic"
"dramatic",13,"dramatic"
"gratitude",13,"gratitude"
"winter quarters",13,"quarters"
"riot",13,"riot"
"defiance",13,"defiance"
"proletarian",13,"proletarian"
"to groan",13,"groan"
"punk",13,"punk"
"to agglomerate",13,"agglomerate"
"dais",13,"dais"
"agio",13,"agio"
"cordia africana",13,"cordia africana"
"sari",13,"sari"
"ruck",13,"ruck"
"balaclava",13,"balaclava"
"ceiba chodatii",13,"ceiba chodatii"
"sketch",13,"sketch"
"tourmaline",13,"tourmaline"
"allele",13,"allele"
"andesite",13,"andesite"
"architectural",13,"architectural"
"bung-hole",13,"bung"
"binary",13,"binary"
"blockade",13,"blockade"
"buffer",13,"buffer"
"globularia vulgaris",13,"globularia vulgaris"
"dormitory",13,"dormitory"
"scimitar",13,"scimitar"
"rabbit hutch",13,"hutch"
"crusader",13,"crusader"
"to lurk",13,"lurk"
"dargah",13,"dargah"
"dowel",13,"dowel"
"nozzle",13,"nozzle"
"gospel",13,"gospel"
"faena",13,"faena"
"geno-",13,"geno"
"to addle",13,"addle"
"holy grail",13,"grail"
"hanseatic city",13,"hanseatic"
"inhuman",13,"inhuman"
"ionian sea",13,"ionian"
"italo-",13,"italo"
"yukola",13,"yukola"
"el dorado",13,"el dorado"
"to peek",13,"peek"
"lucmo",13,"lucmo"
"macro-",13,"macro"
"mischief",13,"mischief"
"youngest son",13,"youngest"
"straight razor",13,"razor"
"olivine",13,"olivine"
"ostrog",13,"ostrog"
"goatee",13,"goatee"
"principality",13,"principality"
"to rap",13,"rap"
"resonating noise",13,"resonating"
"roccella",13,"roccella"
"sauerkraut",13,"sauerkraut"
"to strew",13,"strew"
"to sculpt",13,"sculpt"
"tibio-",13,"tibio"
"reproach",13,"reproach"
"nuncio",13,"nuncio"
"chef",13,"chef"
"-ful",12,"ful"
"to appropriate",12,"appropriate"
"amygdala",12,"amygdala"
"meteoric stone",12,"meteoric"
"expeller",12,"expeller"
"cyclamen graecum",12,"cyclamen graecum"
"hindering",12,"hindering"
"unpleasing",12,"unpleasing"
"liquorice",12,"liquorice"
"quickening",12,"quickening"
"having plundered",12,"plundered"
"written out",12,"written"
"subclavate",12,"subclavate"
"encompassed",12,"encompassed"
"inactive",12,"inactive"
"to remember",12,"remember"
"phylarch",12,"phylarch"
"containing wormwood",12,"wormwood"
"falling headfirst",12,"headfirst"
"having tarried",12,"tarried"
"metropolitan",12,"metropolitan"
"obscured",12,"obscured"
"first-born",12,"first"
"unbroken",12,"unbroken"
"resounding",12,"resounding"
"might",12,"might"
"hypocrisy",12,"hypocrisy"
"techno-",12,"techno"
"acorns",12,"acorns"
"annihilated",12,"annihilated"
"tv",12,"tv"
"bridegroom",12,"bridegroom"
"torso",12,"torso"
"poo",12,"poo"
"agama",12,"agama"
"corm",12,"corm"
"yo-yo",12,"yo yo"
"to cope",12,"cope"
"dec-",12,"dec"
"karma",12,"karma"
"asthma",12,"asthma"
"pussy-cat",12,"pussy"
"sexual intercourse",12,"intercourse"
"bairam",12,"bairam"
"geologist",12,"geologist"
"loom",12,"loom"
"brill",12,"brill"
"wild rue",12,"rue"
"voivode",12,"voivode"
"artel",12,"artel"
"stubbornness",12,"stubbornness"
"shunt",12,"shunt"
"enraged",12,"enraged"
"pact",12,"pact"
"agglomerated",12,"agglomerated"
"pictographic",12,"pictographic"
"apartotel",12,"apartotel"
"avellane cross",12,"avellane"
"to loathe",12,"loathe"
"bandana",12,"bandana"
"brachial",12,"brachial"
"beechwood cane",12,"beechwood"
"chitin",12,"chitin"
"coleta",12,"coleta"
"collage",12,"collage"
"premolar tooth",12,"premolar"
"diabase",12,"diabase"
"dividend",12,"dividend"
"drumlin",12,"drumlin"
"edam cheese",12,"edam"
"phenyl",12,"phenyl"
"flush",12,"flush"
"frisbee",12,"frisbee"
"crested lark",12,"lark"
"to gape",12,"gape"
"internet",12,"internet"
"very ungrateful",12,"ungrateful"
"cockatoo",12,"cockatoo"
"knorr",12,"knorr"
"konzo",12,"konzo"
"birchbark basket",12,"birchbark"
"mons pubis",12,"mons pubis"
"media library",12,"media"
"metallurgist",12,"metallurgist"
"milonga",12,"milonga"
"mohair",12,"mohair"
"salt marsh",12,"marsh"
"vendace",12,"vendace"
"purified",12,"purified"
"mowing",12,"mowing"
"midnight",12,"midnight"
"snow bunting",12,"bunting"
"realgar",12,"realgar"
"revolt",12,"revolt"
"regulating substance",12,"regulating"
"sextant",12,"sextant"
"whistling",12,"whistling"
"spinel",12,"spinel"
"ottava rima",12,"ottava rima"
"taiga",12,"taiga"
"thermo-",12,"thermo"
"trawler",12,"trawler"
"vignette",12,"vignette"
"to applaud",12,"applaud"
"waterproof",12,"waterproof"
"yareta",12,"yareta"
"pince-nez",12,"pince nez"
"dick",12,"dick"
"naive",12,"naive"
"indolent",11,"indolent"
"metrical",11,"metrical"
"forearm",11,"forearm"
"by daylight",11,"daylight"
"naphtha",11,"naphtha"
"admonished",11,"admonished"
"palisade",11,"palisade"
"slept outdoors",11,"slept outdoors"
"sent forth",11,"sent forth"
"sardonyx",11,"sardonyx"
"placable",11,"placable"
"set forth",11,"forth"
"arithmetical",11,"arithmetical"
"unafraid",11,"unafraid"
"oratorical",11,"oratorical"
"transported",11,"transported"
"recovered",11,"recovered"
"architecture",11,"architecture"
"pliers",11,"pliers"
"rabid",11,"rabid"
"sandgrouse",11,"sandgrouse"
"tsar",11,"tsar"
"beige",11,"beige"
"socialist",11,"socialist"
"disappointment",11,"disappointment"
"eve",11,"eve"
"sanitary",11,"sanitary"
"bliss",11,"bliss"
"-naut",11,"naut"
"conifer forest",11,"conifer"
"rowan trees",11,"rowan"
"pock",11,"pock"
"giant anteater",11,"anteater"
"lecsó",11,"lecsó"
"follicle",11,"follicle"
"horde",11,"horde"
"tee",11,"tee"
"satin",11,"satin"
"cello",11,"cello"
"tuba",11,"tuba"
"greyhound bitch",11,"greyhound"
"psalter",11,"psalter"
"sapling",11,"sapling"
"bulgur",11,"bulgur"
"champan",11,"champan"
"cousin",11,"cousin"
"agronomic",11,"agronomic"
"hazard",11,"hazard"
"ambient",11,"ambient"
"arab woman",11,"arab"
"atheistic",11,"atheistic"
"avant-garde",11,"avant garde"
"unclean",11,"unclean"
"azine",11,"azine"
"drowned",11,"drowned"
"to entrust",11,"entrust"
"to bleach",11,"bleach"
"cashier",11,"cashier"
"calamanco",11,"calamanco"
"clientele",11,"clientele"
"cerebral",11,"cerebral"
"cyclo-",11,"cyclo"
"anguish",11,"anguish"
"consulate",11,"consulate"
"cosmetics",11,"cosmetics"
"duiker",11,"duiker"
"empowerment",11,"empowerment"
"phyto-",11,"phyto"
"totality",11,"totality"
"industrial park",11,"industrial"
"jarina",11,"jarina"
"yeti",11,"yeti"
"kakariki",11,"kakariki"
"cpsu",11,"cpsu"
"brevity",11,"brevity"
"delivery",11,"delivery"
"styrax officinalis",11,"styrax officinalis"
"to illuminate",11,"illuminate"
"merino",11,"merino"
"minimal",11,"minimal"
"exempted",11,"exempted"
"harbour porpoise",11,"porpoise"
"navigator",11,"navigator"
"to manoeuvre",11,"manoeuvre"
"onco-",11,"onco"
"gastropod",11,"gastropod"
"polonaise",11,"polonaise"
"swath",11,"swath"
"presidency",11,"presidency"
"promo",11,"promo"
"quiche",11,"quiche"
"plentiful",11,"plentiful"
"sanguine",11,"sanguine"
"carefree person",11,"carefree"
"social security",11,"security"
"sirocco",11,"sirocco"
"falcon chick",11,"falcon"
"corvee",11,"corvee"
"syenite",11,"syenite"
"tholobate",11,"tholobate"
"taurine",11,"taurine"
"two-wheel tractor",11,"tractor"
"vairy",11,"vairy"
"toy waterwheel",11,"waterwheel"
"veterinary",11,"veterinary"
"vinaigrette",11,"vinaigrette"
"aviary",11,"aviary"
"ganzá",11,"ganzá"
"whining",11,"whining"
"diameter",11,"diameter"
"-bearing",10,""
"tangible",10,"tangible"
"babbler",10,"babbler"
"distrusted",10,"distrusted"
"resumed",10,"resumed"
"incisor",10,"incisor"
"desisted",10,"desisted"
"unspoken",10,"unspoken"
"dactylic",10,"dactylic"
"wrestled",10,"wrestled"
"readily",10,"readily"
"characteristic",10,"characteristic"
"domestic economy",10,"domestic economy"
"nipper-mouthed",10,"nipper"
"awoke",10,"awoke"
"roman empire",10,"roman"
"cithara player",10,"cithara"
"enticed",10,"enticed"
"threatening",10,"threatening"
"lemonade",10,"lemonade"
"bulldozer",10,"bulldozer"
"hiv",10,"hiv"
"ohm",10,"ohm"
"self-",10,""
"bel",10,"bel"
"microcomputer",10,"microcomputer"
"trawl",10,"trawl"
"ewe",10,"ewe"
"vole",10,"vole"
"yage",10,"yage"
"verb",10,"verb"
"to lick",10,"lick"
"firstborn child",10,"firstborn"
"f-sharp",10,"f"
"slop",10,"slop"
"yogi",10,"yogi"
"lucre",10,"lucre"
"sepulchre",10,"sepulchre"
"brooch",10,"brooch"
"onto-",10,""
"magician",10,"magician"
"glacis",10,"glacis"
"to peel",10,"peel"
"to gnaw",10,"gnaw"
"dumb person",10,"dumb"
"horizontal",10,"horizontal"
"neuro-",10,"neuro"
"buffet",10,"buffet"
"gneiss",10,"gneiss"
"aborigine",10,"aborigine"
"adieu",10,"adieu"
"axon",10,"axon"
"artistic",10,"artistic"
"baize",10,"baize"
"botanist",10,"botanist"
"bracatinga",10,"bracatinga"
"hutterite colony",10,"hutterite"
"chalco-",10,"chalco"
"calinda",10,"calinda"
"cerite",10,"cerite"
"slam",10,"slam"
"khokhol",10,"khokhol"
"crinoline",10,"crinoline"
"disciple",10,"disciple"
"doctrine",10,"doctrine"
"effluent",10,"effluent"
"elemin",10,"elemin"
"bonfire",10,"bonfire"
"palm sunday",10,"sunday"
"foundry",10,"foundry"
"gas pipeline",10,"pipeline"
"glitter",10,"glitter"
"gnome",10,"gnome"
"gondola",10,"gondola"
"gorilla",10,"gorilla"
"to moult",10,"moult"
"hyalite",10,"hyalite"
"-ize",10,"ize"
"jass",10,"jass"
"glacial river",10,"glacial"
"to chlorinate",10,"chlorinate"
"to caw",10,"caw"
"carto-",10,"carto"
"kisel",10,"kisel"
"knout",10,"knout"
"hamster",10,"hamster"
"cyma",10,"cyma"
"sapium glandulosum",10,"sapium glandulosum"
"greyness",10,"greyness"
"lempira",10,"lempira"
"lycée",10,"lycée"
"snood",10,"snood"
"humiliated",10,"humiliated"
"menorah",10,"menorah"
"meridional",10,"meridional"
"mikveh",10,"mikveh"
"module",10,"module"
"monial",10,"monial"
"prosopis affinis",10,"prosopis affinis"
"marooned",10,"marooned"
"online",10,"online"
"faggotry",10,"faggotry"
"peon",10,"peon"
"prologue",10,"prologue"
"psychiatry",10,"psychiatry"
"slurry",10,"slurry"
"kimbundu language",10,"kimbundu"
"repentance",10,"repentance"
"sultanate",10,"sultanate"
"samsara",10,"samsara"
"to stamp",10,"stamp"
"sugar refinery",10,"refinery"
"haggling",10,"haggling"
"tirade",10,"tirade"
"obscurantist",10,"obscurantist"
"trapezoid",10,"trapezoid"
"diligence",10,"diligence"
"weighing scales",10,"weighing"
"wisent",10,"wisent"
"armed gurnard",9,"gurnard"
"to tattoo",9,"tattoo"
"atlantic ocean",9,"atlantic"
"vitreous humour",9,"vitreous"
"living together",9,"living"
"castanet",9,"castanet"
"soothsayer",9,"soothsayer"
"caliph",9,"caliph"
"muslin",9,"muslin"
"collar harness",9,"harness"
"invader",9,"invader"
"comitial",9,"comitial"
"fraternal nephew",9,"fraternal"
"conjectural",9,"conjectural"
"seducer",9,"seducer"
"quadriform",9,"quadriform"
"ventricular",9,"ventricular"
"wardrobe",9,"wardrobe"
"alchemist",9,"alchemist"
"orpiment",9,"orpiment"
"diminutive noun",9,"diminutive noun"
"labyrinthine",9,"labyrinthine"
"historical",9,"historical"
"antithet",9,"antithet"
"extorted",9,"extorted"
"independent",9,"independent"
"weighed",9,"weighed"
"tabernacle",9,"tabernacle"
"luxury apartment",9,"luxury"
"to putrefy",9,"putrefy"
"sill",9,"sill"
"vice",9,"vice"
"mimosa",9,"mimosa"
"grits",9,"grits"
"salami",9,"salami"
"to novate",9,"novate"
"lich",9,"lich"
"venal",9,"venal"
"bounty",9,"bounty"
"plumb line",9,"plumb"
"zephyr",9,"zephyr"
"-stan",9,"stan"
"quinine",9,"quinine"
"small ripples",9,"ripples"
"mbyá",9,"mbyá"
"cista",9,"cista"
"battering ram",9,"battering"
"ruble",9,"ruble"
"to languish",9,"languish"
"to solder",9,"solder"
"buff coat",9,"buff"
"hydra",9,"hydra"
"galangal",9,"galangal"
"syllable",9,"syllable"
"mafe",9,"mafe"
"simoom",9,"simoom"
"calendar",9,"calendar"
"syntan",9,"syntan"
"lemma",9,"lemma"
"accipitrid",9,"accipitrid"
"geode",9,"geode"
"hertz",9,"hertz"
"livestock",9,"livestock"
"vacant",9,"vacant"
"clinker",9,"clinker"
"to encase",9,"encase"
"aerial",9,"aerial"
"afro-",9,"afro"
"pottery workshop",9,"workshop"
"armistice",9,"armistice"
"babouche",9,"babouche"
"bachata",9,"bachata"
"barricade",9,"barricade"
"nightie",9,"nightie"
"berimbau",9,"berimbau"
"diaphragm",9,"diaphragm"
"sperm whale",9,"sperm"
"long johns",9,"johns"
"caesium hydroxide",9,"caesium hydroxide"
"chaconne",9,"chaconne"
"chromo-",9,"chromo"
"couturier",9,"couturier"
"home delivery",9,"delivery"
"dispensary",9,"dispensary"
"dojo",9,"dojo"
"dom pérignon",9,"dom pérignon"
"espresso",9,"espresso"
"narcissi",9,"narcissi"
"fluorite",9,"fluorite"
"amusement park",9,"amusement"
"leisure centre",9,"leisure"
"cheerfulness",9,"cheerfulness"
"to guarantee",9,"guarantee"
"gavial",9,"gavial"
"geology",9,"geology"
"garnet",9,"garnet"
"wooden crate",9,"crate"
"variegated vestment",9,"variegated"
"halite",9,"halite"
"to analyze",9,"analyze"
"to crochet",9,"crochet"
"courtier",9,"courtier"
"chert",9,"chert"
"huaso",9,"huaso"
"hygiene",9,"hygiene"
"strained yogurt",9,"yogurt"
"junker",9,"junker"
"to poo",9,"poo"
"calorie",9,"calorie"
"calpack",9,"calpack"
"clopping",9,"clopping"
"lintel",9,"lintel"
"to luff",9,"luff"
"lorry",9,"lorry"
"majesty",9,"majesty"
"lodestone",9,"lodestone"
"mărășești",9,"mărășești"
"mercantile",9,"mercantile"
"half-moon",9,"half"
"midfield",9,"midfield"
"moksha",9,"moksha"
"prose writer",9,"prose"
"mozzetta",9,"mozzetta"
"ottoman marshal",9,"ottoman marshal"
"navarin",9,"navarin"
"safety bicycle",9,"safety bicycle"
"to nominate",9,"nominate"
"novena",9,"novena"
"dissatisfied",9,"dissatisfied"
"osprey",9,"osprey"
"paleontological",9,"paleontological"
"panacea",9,"panacea"
"jatoba",9,"jatoba"
"hypocritical",9,"hypocritical"
"phonolite",9,"phonolite"
"pineau",9,"pineau"
"professional mourner",9,"professional mourner"
"polyvalent",9,"polyvalent"
"porcelain vase",9,"vase"
"presidential",9,"presidential"
"prudish",9,"prudish"
"swaddle",9,"swaddle"
"skittle",9,"skittle"
"radial",9,"radial"
"reem",9,"reem"
"to crucify",9,"crucify"
"salol",9,"salol"
"shantung",9,"shantung"
"lisp",9,"lisp"
"seraglio",9,"seraglio"
"sirwal",9,"sirwal"
"sibyl",9,"sibyl"
"illicit whiskey",9,"illicit whiskey"
"spaghetti",9,"spaghetti"
"stroma",9,"stroma"
"therian",9,"therian"
"trachyte",9,"trachyte"
"tranche",9,"tranche"
"truce",9,"truce"
"trilobite",9,"trilobite"
"turpeth",9,"turpeth"
"to honk",9,"honk"
"ummah",9,"ummah"
"renewal",8,"renewal"
"servilius casca",8,"servilius casca"
"absence",8,"absence"
"phlegm",8,"phlegm"
"desisting",8,"desisting"
"harassing",8,"harassing"
"surveyor",8,"surveyor"
"suckled",8,"suckled"
"egadi islands",8,"egadi"
"unstitched",8,"unstitched"
"commended",8,"commended"
"affixed",8,"affixed"
"appellant",8,"appellant"
"unavenged",8,"unavenged"
"volunteer",8,"volunteer"
"antistrophe",8,"antistrophe"
"unploughed",8,"unploughed"
"running forth",8,"forth"
"having loitered",8,"loitered"
"inexplicable",8,"inexplicable"
"disapproved",8,"disapproved"
"parallelepiped",8,"parallelepiped"
"censor",8,"censor"
"having consoled",8,"consoled"
"unwaveringly",8,"unwaveringly"
"physician",8,"physician"
"grim",8,"grim"
"c-sharp",8,"c"
"axolotl",8,"axolotl"
"ciabatta",8,"ciabatta"
"cognac",8,"cognac"
"civil",8,"civil"
"atto-",8,"atto"
"hogweed",8,"hogweed"
"aviator",8,"aviator"
"carabineer",8,"carabineer"
"aegis",8,"aegis"
"cowl",8,"cowl"
"snipe",8,"snipe"
"pineapple fruit",8,"pineapple"
"abraxas",8,"abraxas"
"adverse",8,"adverse"
"alkene",8,"alkene"
"amanita",8,"amanita"
"harlequin",8,"harlequin"
"azurite",8,"azurite"
"backup",8,"backup"
"lunatic",8,"lunatic"
"basics",8,"basics"
"inexperienced",8,"inexperienced"
"bobsledder",8,"bobsledder"
"to browse",8,"browse"
"fulmar",8,"fulmar"
"calotte",8,"calotte"
"hackle",8,"hackle"
"aventail",8,"aventail"
"cantilever",8,"cantilever"
"chanterelle",8,"chanterelle"
"chorale",8,"chorale"
"chromite",8,"chromite"
"to tickle",8,"tickle"
"uncastrated",8,"uncastrated"
"congregational",8,"congregational"
"croquette",8,"croquette"
"cyanamide",8,"cyanamide"
"pre-eminence",7,"eminence"
"having endeavoured",7,"endeavoured"
"obscurely",7,"obscurely"
"easily",7,"easily"
"pulse",7,"pulse"
"depository",7,"depository"
"offscouring",7,"offscouring"
"frequented",7,"frequented"
"algebra",7,"algebra"
"distributed",7,"distributed"
"loving strangers",7,"strangers"
"anticipated",7,"anticipated"
"acorn-eating",7,"acorn"
"semicordate",7,"semicordate"
"anglo-saxon",7,"anglo saxon"
"contributed",7,"contributed"
"propagated",7,"propagated"
"convivial",7,"convivial"
"jaybird",7,"jaybird"
"uncontaminated",7,"uncontaminated"
"embezzled",7,"embezzled"
"paid",7,"paid"
"dictatorial",7,"dictatorial"
"transfixed",7,"transfixed"
"half-washed",7,"half"
"anxiety",7,"anxiety"
"dishonoured",7,"dishonoured"
"defecated",7,"defecated"
"pharyngeal",7,"pharyngeal"
"hypothetical",7,"hypothetical"
"-saying",6,""
"reverential awe",6,"reverential awe"
"methane",6,"methane"
"parched barley",6,"parched"
"lunate",6,"lunate"
"prostate",6,"prostate"
"masseur",6,"masseur"
"twelfth",6,"twelfth"
"struck down",6,"struck"
"in vain",6,"vain"
"first attempt",6,"first"
"anti-lebanon",6,"anti lebanon"
"patellula",6,"patellula"
"nuclear",6,"nuclear"
"plucked out",6,"plucked"
"honorary",6,"honorary"
"maternal aunt",6,"maternal"
"recreated",6,"recreated"
"seminarian",6,"seminarian"
"spignel",6,"spignel"
"unapproachable",6,"unapproachable"
"strumpet",6,"strumpet"
"pollarded",6,"pollarded"
"repenting",6,"repenting"
"anatomist",6,"anatomist"
"irregularity",6,"irregularity"
"accomplished",6,"accomplished"
"ashamed",6,"ashamed"
"elementary",6,"elementary"
"penetrable",6,"penetrable"
"suppliant",6,"suppliant"
"derivative",6,"derivative"
"dashed",6,"dashed"
"to hiccup",5,"hiccup"
"whither?",5,"whither?"
"intricate knot",5,"intricate"
"quokka",5,"quokka"
"inequality",5,"inequality"
"dung beetle",5,"beetle"
"dose",5,"dose"
"pangaion hills",5,"pangaion"
"gijón",5,"gijón"
"optical",5,"optical"
"abdominal cavity",5,"abdominal"
"inexpressible",5,"inexpressible"
"galloping",5,"galloping"
"psaltery",5,"psaltery"
"abductor",5,"abductor"
"aesthetic",5,"aesthetic"
"transcribed",5,"transcribed"
"augury",5,"augury"
"rapist",5,"rapist"
"apologetic",5,"apologetic"
"consolable",5,"consolable"
"enclitic",5,"enclitic"
"prolific",5,"prolific"
"glycerine",5,"glycerine"
"illegal",5,"illegal"
"persecutor",5,"persecutor"
"inseparable",5,"inseparable"
"slandered",5,"slandered"
"opobalsam",5,"opobalsam"
"mountain-bred",5,"bred"
"neglect",5,"neglect"
"perplexing",5,"perplexing"
"forewarned",5,"forewarned"
"great-granddaughter",5,"granddaughter"
"entrails",5,"entrails"
"protea-staining",5,"protea"
"variegated tunic",5,"variegated"
"zygomatic",5,"zygomatic"
"depositing",5,"depositing"
"simplicity",5,"simplicity"
"conspired",5,"conspired"
"crammed",5,"crammed"
"coordinate",5,"coordinate"
"uncared-for",5,"uncared"
"foreboding",5,"foreboding"
"half-demolished",5,"half demolished"
"thirtieth",5,"thirtieth"
"aeronautic",5,"aeronautic"
"shipwreck",5,"shipwreck"
"ordinal",5,"ordinal"
"imperceptible",5,"imperceptible"
"brutal outrage",4,"brutal outrage"
"mount oneum",4,"oneum"
"unbreakable",4,"unbreakable"
"immediate",4,"immediate"
"bregma",4,"bregma"
"enchantment",4,"enchantment"
"prose",4,"prose"
"elephantiasis",4,"elephantiasis"
"unaware",4,"unaware"
"like unguent",4,"unguent"
"-metry",4,""
"chattered",4,"chattered"
"something heard",4,"something heard"
"librarian",4,"librarian"
"carotid",4,"carotid"
"resonance",4,"resonance"
"sewn up",4,"sewn"
