term,occurrences,missing
"calla",95,"calla"
"trochanter",94,"trochanter"
"beret",94,"beret"
"elf",94,"elf"
"aloof",94,"aloof"
"bailiff",94,"bailiff"
"with preparation",93,"preparation"
"cyst",93,"cyst"
"trowel",93,"trowel"
"stamina",93,"stamina"
"bight",93,"bight"
"-archy",93,""
"spy",93,"spy"
"zen",92,"zen"
"brothel",92,"brothel"
"takyr",92,"takyr"
"deliverance",92,"deliverance"
"sesamoid",91,"sesamoid"
"cradle",91,"cradle"
"masochistic",91,"masochistic"
"prank",91,"prank"
"rookery",91,"rookery"
"exposed",90,"exposed"
"-ance",90,"ance"
"ester",90,"ester"
"nits",90,"nits"
"halo",90,"halo"
"seepwillow",90,"seepwillow"
"genesis",90,"genesis"
"clerk",90,"clerk"
"mite",89,"mite"
"kneading trough",89,"kneading"
"bromine",89,"bromine"
"squeegee",89,"squeegee"
"artificial lake",89,"artificial"
"oxford shoe",89,"oxford"
"captive",89,"captive"
"hog",89,"hog"
"sheepskin coat",88,"sheepskin"
"clavellate",88,"clavellate"
"indifferent",88,"indifferent"
"strengthened",88,"strengthened"
"spa",88,"spa"
"to veneer",88,"veneer"
"lotto",88,"lotto"
"magnifying glass",88,"magnifying"
"jatobá",88,"jatobá"
"countess",88,"countess"
"tavern",88,"tavern"
"equality",88,"equality"
"quern",88,"quern"
"migratory",87,"migratory"
"iamb",87,"iamb"
"borax",87,"borax"
"azo-",87,"azo"
"brewery",87,"brewery"
"ogre",87,"ogre"
"topaz",86,"topaz"
"gaunt",86,"gaunt"
"meme",86,"meme"
"ayatollah",86,"ayatollah"
"observatory",86,"observatory"
"smear",86,"smear"
"felloe",85,"felloe"
"tab",85,"tab"
"collie",85,"collie"
"leftoid",85,"leftoid"
"hornero",85,"hornero"
"prosperity",85,"prosperity"
"tomcat",85,"tomcat"
"gaudy",85,"gaudy"
"caracara",85,"caracara"
"whetstone",85,"whetstone"
"afflicted",84,"afflicted"
"pentagonal",84,"pentagonal"
"chaplain",84,"chaplain"
"trans-",84,"trans"
"bentonite",84,"bentonite"
"bermuda shorts",84,"bermuda"
"chantilly cream",84,"chantilly"
"sami man",84,"sami"
"vip",84,"vip"
