term,occurrences,tree
profligate,1,"?profligate"
achaean woman,1,"?achaean + woman"
wild asparagus,1,"wild + ?asparagus"
bayreuth,1,"?bayreuth"
boaz,1,"?boaz"
meningitis,1,"?meningitis"
superficially,1,"?superficially"
deposited,1,"?deposited"
impetigo,1,"?impetigo"
[with genitive],1,"?[with genitive]"
milk-pail,1,"milk + ?pail"
reunited,1,"?reunited"
enamel,1,"?enamel"
thermaean,1,"?thermaean"
abiathar,1,"?abiathar"
like abrotanella,1,"like + ?abrotanella"
ahab,1,"?ahab"
achaemenid,1,"?achaemenid"
acuminose,1,"?acuminose"
henceforth,1,"?henceforth"
widening,1,"?widening"
analytical,1,"?analytical"
anconitan,1,"?anconitan"
penguin,1,"?penguin"
architecture,1,"?architecture"
areopagite,1,"?areopagite"
aspidochelone,1,"?aspidochelone"
atrocity,1,"?atrocity"
immaterial,1,"?immaterial"
axiom,1,"?axiom"
baobab,1,"?baobab"
blasphemy,1,"?blasphemy"
flaying oxen,1,"?flaying + ox"
carbuncular,1,"?carbuncular"
catalogue,1,"?catalogue"
tawny owl,1,"?tawny + owl"
lungwort,1,"?lungwort"
damnable,1,"?damnable"
dendrobatid,1,"?dendrobatid"
deprecatory,1,"?deprecatory"
disused,1,"?disused"
having misused,1,"have + ?misused"
translucency,1,"?translucency"
diffidently,1,"?diffidently"
contriver,1,"?contriver"
emesene,1,"?emesene"
epicycle,1,"?epicycle"
mount erymanthus,1,"mount + ?erymanthus"
goaded on,1,"?goaded + on"
fata morgana,1,"?fata morgana"
felony,1,"?felony"
shearing,1,"?shearing"
thievish,1,"?thievish"
gennesaret,1,"?gennesaret"
gethsemane,1,"?gethsemane"
gonorrhea,1,"?gonorrhea"
grandiloquent,1,"?grandiloquent"
grunted,1,"?grunted"
having squandered,1,"have + ?squandered"
jeroboam,1,"?jeroboam"
dried fish-skin,1,"?dried + fish + skin"
portrait painter,1,"?portrait + paint"
unprovoked,1,"?unprovoked"
fanciful,1,"?fanciful"
impenetrable,1,"?impenetrable"
unpierced,1,"?unpierced"
impersonal,1,"?impersonal"
to impregnate,1,"to + ?impregnate"
