word,occurrences,meanings_it_unlocks
"primeval",35,1
"infirmary",35,1
"veal",35,1
"saur",35,1
"nym",35,1
"amusing",35,1
"barge",35,1
"sarcastic",34,1
"impostor",34,1
"dialectics",34,1
"parallax",34,1
"sacrificed",34,1
"mmr",34,1
"email",34,1
"skip",34,1
"coffin",34,1
"habitually",34,1
"eider",34,1
"lumbago",34,1
"shieling",34,1
"azimuth",34,1
"burger",34,1
"capulí",34,1
"croissant",34,1
"galette",34,1
"were",34,1
"gyno",34,1
"awaited",34,1
"awful",34,1
"patriot",34,1
"doggie",34,1
"adjournment",34,1
"clamp",34,1
"arsenic",34,1
"beneficent",33,1
"wiped",33,1
"besmeared",33,1
"undefined",33,1
"erotic",33,1
"duct",33,1
"crumple",33,1
"thru",33,1
"biennale",33,1
"polypore",33,1
"cobalt",33,1
"filter",33,1
"guayabera",33,1
"jeep",33,1
"suckle",33,1
"fortysomething",33,1
"viticultural",33,1
"hind",33,1
"corset",33,1
"fret",33,1
"finesse",33,1
"resource",33,1
"bilberry",33,1
"pruned",32,1
"cilician",32,1
"acidophilic",32,1
"live",32,1
"embassy",32,1
"alluvial",32,1
"equinox",32,1
"hr",32,1
"spikenard",32,1
"pinafore",32,1
"philo",32,1
"trivet",32,1
"kebab",32,1
"beef",32,1
"nankeen",32,1
"igloo",32,1
"ventricle",32,1
"mammoth",32,1
"astro",32,1
"burrito",32,1
"chambéry",32,1
"encierro",32,1
"familial",32,1
"sworn",32,1
"corona",32,1
"pirogue",32,1
"sachet",32,1
"segment",32,1
"soprano",32,1
"schist",32,1
"hopscotch",32,1
"tilde",32,1
"epaulette",32,1
"plundered",32,3
"onyx",31,1
"licked",31,1
"prodigality",31,1
"observable",31,1
"ence",31,1
"nirvana",31,1
"critical",31,1
"cella",31,1
"plaque",31,1
"metamorphosis",31,1
"alabaster",31,1
"conical",31,1
"impala",31,1
"kakapo",31,1
"nickeling",31,1
"paleo",31,1
"radian",31,1
"radome",31,1
"reflex",31,1
"revue",31,1
"collegiate",31,1
"utility",31,1
"vihara",31,1
"velodrome",31,1
"hornbill",31,1
"consort",31,1
"aeroclub",31,1
"lamina",31,1
"seam",30,1
"atlas",30,1
"hydromancer",30,1
"atonement",30,1
"imaginary",30,1
"merlin",30,1
"economy",30,1
"frightened",30,1
"secondhand",30,1
"sica",30,1
"abaya",30,1
"stupa",30,1
"defeat",30,1
"agave",30,1
"bandeirante",30,1
"angina",30,1
"hajji",30,1
"victim",30,1
"lebel",30,1
"liege",30,1
"pyran",30,1
"obesity",30,1
"tezontle",30,1
"peasy",30,1
"technology",30,1
"conservatory",30,1
"goad",30,1
"plucked",30,2
"devour",29,1
"nomy",29,1
"salmon",29,1
"necklace",29,1
"serrated",29,1
"tuberculosis",29,1
"wig",29,1
"lumen",29,1
"jeans",29,1
"antisocial",29,1
"vitiligo",29,1
"toupee",29,1
"ultra",29,1
"faucet",29,1
"emboss",29,1
"adolescent",29,1
"trawling",29,1
"bleaching",29,1
"bonsai",29,1
"yaws",29,1
"cochayuyo",29,1
"sapodilla",29,1
"chullo",29,1
"advisory",29,1
"dynamo",29,1
"wherry",29,1
"palmetto",29,1
"pergola",29,1
"weaned",29,1
"trolley",29,1
"pomegranate",29,1
"lemming",29,1
"gout",29,1
"conjoined",28,1
"acrobat",28,1
"tunny",28,1
"plaited",28,1
"heptagonal",28,1
"eightieth",28,1
"fiancée",28,1
"pettifogger",28,1
"carbine",28,1
"ureter",28,1
"octave",28,1
"aria",28,1
"judicial",28,1
"complaint",28,1
"re",28,1
"chasuble",28,1
"arsis",28,1
"wage",28,1
"surcharge",28,1
"gaff",28,1
"wisp",28,1
"frightening",28,1
"birdie",28,1
"grappa",28,1
"rash",28,1
"lacrosse",28,1
"churn",28,1
"parasol",28,1
"technical",28,1
"territory",28,1
"zombie",28,1
"thole",28,1
"jesus",28,1
"condom",28,1
"commando",28,1
"hazard",28,2
"unleavened",27,1
"greenfodder",27,1
"clarity",27,1
"subjected",27,1
"griffin",27,1
"concubine",27,1
"addax",27,1
"thievish",27,1
"corduroy",27,1
"gouache",27,1
"research",27,1
"yak",27,1
"iud",27,1
"eaglet",27,1
"sarong",27,1
"lamé",27,1
"boza",27,1
"purse",27,1
"bruchid",27,1
"burpee",27,1
"caravelle",27,1
"truss",27,1
"congona",27,1
"crusade",27,1
"fandango",27,1
"giga",27,1
"gourmet",27,1
"rambutan",27,1
"magma",27,1
"martyrdom",27,1
"spattered",27,1
"technologist",27,1
"thuluth",27,1
"airan",27,1
"baroness",27,1
"mantilla",27,1
"amaryllis",27,1
"regent",27,1
"pro",27,1
"dampness",26,1
"clergy",26,1
"dropsy",26,1
"embezzler",26,1
"untangled",26,1
"instigator",26,1
"aphrodisiac",26,1
"miracle",26,1
"affix",26,1
"naturally",26,1
"poncho",26,1
"salat",26,1
"tetter",26,1
"bidet",26,1
"aguayo",26,1
"acro",26,1
"easel",26,1
"camões",26,1
"menhir",26,1
"peyote",26,1
"pinscher",26,1
"tornado",26,1
"pissed",26,1
"italian",26,1
"foreman",26,1
"clumsy",26,1
"jimsonweed",26,1
"chipmunk",26,1
"refolded",25,1
"requiring",25,1
"brutalized",25,1
"dermatitis",25,1
"pastry",25,1
"processional",25,1
"adapted",25,1
"axiom",25,1
"stench",25,1
"violence",25,1
"stasis",25,1
"genuine",25,1
"mere",25,1
"hauberk",25,1
"khaki",25,1
"righteousness",25,1
"nave",25,1
"consult",25,1
"arista",25,1
"botel",25,1
"centipedal",25,1
"cuirass",25,1
"diorite",25,1
"exo",25,1
"liquor",25,1
"como",25,1
"bulletproof",25,1
"obsidian",25,1
"american",25,1
"porgy",25,1
"singe",25,1
"tajine",25,1
"vane",25,1
"cyano",25,1
"shogi",25,1
"thrice",25,2
"fawning",24,1
"invulnerable",24,1
"inquired",24,1
"hooved",24,1
"tightened",24,1
"exposing",24,1
"unteachable",24,1
"hastened",24,1
"unable",24,1
"plunderer",24,1
"disgust",24,1
"coda",24,1
"unique",24,1
"woe",24,1
"memo",24,1
"disfigurement",24,1
"djembe",24,1
"mural",24,1
"vegan",24,1
"gabbro",24,1
"syringe",24,1
"doge",24,1
"cangue",24,1
"arcane",24,1
"laziness",24,1
"ambassador",24,1
"quinone",24,1
"breakup",24,1
"circumcise",24,1
"kretek",24,1
"firth",24,1
"gallinipper",24,1
"nabkha",24,1
"nitro",24,1
"tisane",24,1
"interlining",24,1
"engrave",24,1
"rowel",24,1
"yawn",23,1
"intruded",23,1
"ambrosial",23,1
"grizzled",23,1
"tractable",23,1
"censorial",23,1
"litharge",23,1
"telephone",23,1
"lasso",23,1
"horst",23,1
"tenrec",23,1
"peripheral",23,1
"lesbian",23,1
"lazaret",23,1
"abbess",23,1
"barracuda",23,1
"insulating",23,1
