term,occurrences,forms
potenza,7,5
gyrtias,7,4
aalst,7,5
archias,7,5
lazarus,7,4
male name,6,1
anticyra,6,1
antimachus,6,1
archilochus,6,1
male name,6,1
casteggio,6,1
deductor,6,1
cercetae,6,1
sarno,6,1
xenophanes,6,1
nevada,6,2
seleucia,6,2
cleisthenes,6,2
decebalus,6,2
ryazan,6,3
rhesa,6,2
bubastis,6,3
ararat,6,3
hagne,6,3
hybla,6,3
cephisus,6,4
łódź,6,4
matera,6,3
zeno,6,4
iraq,6,3
pausanias,6,4
strattis,6,2
anacreon,6,4
trebbia,6,4
azes,6,4
gregory,6,4
ithacan,6,4
euclio,6,5
pepin,6,5
pianosa,6,4
alba,6,4
acharnean,5,1
antigenes,5,1
aristocleides,5,1
goddess,5,1
critobulus,5,1
dionysus,5,1
namur,5,1
pippin,5,1
sextarius,5,1
theogenes,5,1
dadaces,5,2
doberus,5,2
leontinian,5,2
leucas,5,2
libyssa,5,2
oebares,5,2
ornean,5,2
datames,5,2
bettona,5,2
alcaeus,5,2
arbinas,5,2
kallicles,5,2
connecticut,5,3
hermione,5,2
joanna,5,2
maximian,5,2
bulis,5,2
sisak,5,3
thrasyllus,5,2
cetina,5,2
adela,5,3
aeolian,5,4
given name,5,3
tarsian,5,4
minorca,5,4
iasos,5,3
maddalena,5,3
seleucus,5,3
antiphus,4,1
artystone,4,1
delice,4,1
democritus,4,1
diocleides,4,1
diopeithes,4,1
dunax,4,1
ivrea,4,1
kefalari,4,1
ganymede,4,1
selenium,4,1
justinian,4,1
euromus,4,1
volupia,4,1
magnentius,4,1
maris,4,1
megabates,4,1
iotaba,4,1
nausiphanes,4,1
oxyartes,4,1
thesprotian,4,1
alcyone,4,2
liaka,4,2
daphnae,4,2
julian,4,2
masistes,4,2
megara,4,2
delminium,4,2
novara,4,2
pakistan,4,2
parmys,4,2
spadacus,4,2
tanaquil,4,2
zakynthos,4,2
isernia,4,3
waal,4,3
aristippus,4,3
vukovar,4,2
leontini,4,2
menander,4,2
lysimachus,4,3
pisander,4,2
peteos,4,2
phalerian,4,2
pistoclerus,4,2
xois,4,2
rhegine,4,3
benedict,4,3
tibarene,4,3
todi,4,3
cleopater,4,4
edessa,4,4
hispa,4,4
adeimantus,3,1
antalcidas,3,1
antiochus,3,1
arcesilaus,3,1
aryandes,3,1
medicinal herb,3,1
cluana,3,1
dicaearchus,3,1
diognetus,3,1
diophantus,3,1
dyrrhachium,3,1
godfrey,3,1
carian,3,1
lydian,3,1
lysistratus,3,1
megarian,3,1
metapontine,3,1
šolta,3,1
gadara,3,1
pasicles,3,1
philomela,3,1
pistoia,3,1
proconsul,3,1
propraetor,3,1
cleomenes,3,1
pythagoras,3,1
scorilo,3,1
segontium,3,1
theodosius,3,1
gens,3,1
